street_modern,hnyc_street_name,street_alt,Left_Low,Left_High,Right_Low,Right_High,ED_Left,ED_Right,JoinID,Name
FLATLANDS 6,FLATLANDS 6,NA,NA,NA,NA,NA,988,988,G00010998,FLATLANDS 6
FLATBUSH AVE,FLATBUSH AVE,NA,1321,1333,NA,NA,1012,1013,G00010999,FLATBUSH AVE
E 54,E 54,NA,491,547,492,546,990,991,G00011000,E 54
8 AVE,8 AVE,NA,NA,NA,NA,NA,191,191,G00011001,8 AVE
DWIGHT,DWIGHT,NA,177,197,162,182,247,247,G00011002,DWIGHT
SCHENCK PL,SCHENCK PL,NA,NA,NA,NA,NA,989,989,G00011003,SCHENCK PL
ORIENTAL BLVD,ORIENTAL,NA,NA,NA,1302,1398,1034,1034,G00011004,ORIENTAL
GERRITSEN AVE,GERRITSEN AVE,NA,1885,1911,1896,1912,1001,1005,G00011005,GERRITSEN AVE
LIBERTY AVE,LIBERTY AVE,NA,221,239,222,236,747,748,G00011006,LIBERTY AVE
GILMORE CT,GILMORE CT,NA,NA,NA,NA,NA,1033,1033,G00011007,GILMORE CT
19 AVE,19 AVE,NA,8771,8807,8776,8812,1054,1055,G00011008,19 AVE
CARLTON AVE,CARLTON AVE,NA,629,655,616,638,178,175,G00011009,CARLTON AVE
S AVE,S AVE,NA,NA,NA,NA,NA,1031,1031,G00011010,S AVE
RALPH AVE,RALPH AVE,NA,NA,NA,NA,NA,990,990,G00011011,RALPH AVE
4,4,NA,NA,NA,NA,NA,428,428,G00011012,4
CONKLIN AVE,CONKLIN AVE,NA,109,125,108,124,987,987,G00011013,CONKLIN AVE
79,79,NA,1301,1369,1300,1372,1072,1078,G00011014,79
N 9,N 9,NA,159,197,168,204,280,280,G00011015,N 9
BAY PKWY,22 AVE,NA,NA,NA,4701,4721,1029,1029,G00011016,22 AVE
HERKIMER,HERKIMER,NA,1013,1031,1016,1032,709,709,G00011017,HERKIMER
QUINCY,QUINCY,NA,389,449,400,474,585,585,G00011018,QUINCY
DE WITT AVE,VIENNA AVE,NA,421,439,420,442,986,986,G00011019,VIENNA AVE
BATH AVE,BATH AVE,NA,2149,2161,2150,2172,1052,1052,G00011020,BATH AVE
POWERS,POWERS,NA,277,313,300,326,414,414,G00011021,POWERS
EASTERN PKWY,EAST PKWY,NA,NA,NA,1296,1378,666,666,G00011022,EAST PKWY
MIDWOOD,MIDWOOD,NA,393,459,396,458,940,940,G00011023,MIDWOOD
BRIGHTON 5,BRIGHTON 5,NA,NA,NA,NA,NA,1035,1035,G00011024,BRIGHTON 5
RICHARDSON,RICHARDSON,NA,85,113,88,114,404,300,G00011025,RICHARDSON
E 49,E 49,NA,73,165,74,166,950,950,G00011026,E 49
METROPOLITAN AVE,METROPOLITAN AVE,NA,19,49,20,50,275,275,G00011027,METROPOLITAN AVE
METROPOLITAN AVE,METROPOLITAN AVE,NA,1091,1147,1090,1148,416,416,G00011028,METROPOLITAN AVE
MYRTLE AVE,MYRTLE AVE,NA,91,113,86,106,40,40,G00011029,MYRTLE AVE
ORIENTAL BLVD,ORIENTAL,NA,1,99,2,98,1034,1034,G00011030,ORIENTAL
MARCUS GARVEY BLVD,SUMNER AVE,NA,48,63,50,64,508,507,G00011031,SUMNER AVE
M AVE,M AVE,NA,NA,NA,NA,NA,989,989,G00011032,M AVE
BATH AVE,BATH AVE,NA,2749,2769,2750,2798,1048,1048,G00011033,BATH AVE
79,79,NA,1601,1675,NA,NA,1074,1074,G00011034,79
MARINE PKWY,MARINE PKWY,NA,NA,NA,NA,NA,1001,1001,G00011035,MARINE PKWY
EVERGREEN AVE,EVERGREEN AVE,NA,465,483,526,540,896,891,G00011036,EVERGREEN AVE
23 AVE,23 AVE,NA,8101,8129,NA,NA,1050,1051,G00011037,23 AVE
E 22,ELMORE PL,NA,1669,1725,1668,1726,1007,1007,G00011038,ELMORE PL
3 AVE,3 AVE,NA,9101,9127,9014,9018,1081,1081,G00011039,3 AVE
GRAND AVE,GRAND AVE,NA,469,495,486,508,112,111,G00011040,GRAND AVE
E 92,E 92,NA,NA,NA,NA,NA,987,987,G00011041,E 92
50,50,NA,501,581,500,580,147,147,G00011042,50
E 17,E 17,NA,2113,2169,2120,2170,1032,1032,G00011043,E 17
5 AVE,5 AVE,NA,7101,7133,7100,7138,1097,1097,G00011044,5 AVE
BEACH 47,BCH 47,NA,4700,4730,4701,4729,1044,1043,G00011045,BCH 47
HALSEY,HALSEY,NA,1331,1399,1330,1398,NA,NA,G00011046,HALSEY
NA,CLASSON AVE,NA,379,395,360,376,105,101,G00011047,CLASSON AVE
E 38,E 38,NA,763,837,764,842,997,997,G00011048,E 38
STRATFORD RD,STRATFORD RD,NA,219,249,230,254,1020,1020,G00011049,STRATFORD RD
JORALEMON,JORALEMON,NA,81,93,80,92,7,9,G00011050,JORALEMON
BAY 38,BAY 38,NA,NA,NA,NA,NA,1050,1050,G00011051,BAY 38
REEVE PL,REEVE PL,NA,63,99,54,86,920,920,G00011052,REEVE PL
E 54,E 54,NA,1673,1741,1674,1742,1001,1001,G00011053,E 54
BRYANT,BRYANT,NA,NA,NA,NA,NA,248,248,G00011054,BRYANT
18,18,NA,1,115,2,108,115,115,G00011055,18
BELMONT AVE,BELMONT AVE,NA,NA,NA,320,336,750,792,G00011056,BELMONT AVE
PROSPECT W PARK,W PROSPECT,NA,NA,NA,152,161,NA,570,G00011057,W PROSPECT
SAINT MARKS AVE,SAINT MARKS AVE,NA,621,689,636,704,624,654,G00011058,SAINT MARKS AVE
91,91,NA,201,281,200,282,1081,1081,G00011059,91
LEWIS AVE,LEWIS AVE,NA,87,101,86,102,518,515,G00011060,LEWIS AVE
RIVERDALE AVE,RIVERDALE AVE,NA,167,189,170,188,964,964,G00011061,RIVERDALE AVE
4 AVE,4 AVE,NA,921,939,NA,NA,133,133,G00011062,4 AVE
TROUTMAN,TROUTMAN,NA,147,199,146,200,836,834,G00011063,TROUTMAN
W 28,W 28,NA,NA,NA,NA,NA,1042,1042,G00011064,W 28
MANHATTAN AVE,MANHATTAN AVE,NA,473,501,472,518,406,406,G00011065,MANHATTAN AVE
LAFAYETTE AVE,LAFAYETTE AVE,NA,21,37,NA,NA,234,237,G00011066,LAFAYETTE AVE
CHESTER AVE,CHESTER AVE,NA,73,93,72,96,924,924,G00011067,CHESTER AVE
72,72,NA,1901,1927,1900,1914,1057,1057,G00011068,72
EASTERN PKWY,EAST PKWY,NA,NA,NA,1868,1906,722,722,G00011069,EAST PKWY
N PORTLAND AVE,N PORTLAND AVE,NA,57,115,56,114,459,223,G00011070,N PORTLAND AVE
Y AVE,Y AVE,NA,NA,NA,NA,NA,1037,1037,G00011071,Y AVE
13 AVE,13 AVE,NA,6501,6519,6500,6524,1070,1070,G00011072,13 AVE
IRVING AVE,IRVING AVE,NA,299,307,298,306,879,875,G00011073,IRVING AVE
WITHERS,WITHERS,NA,375,415,376,416,409,409,G00011074,WITHERS
ALBEMARLE RD,ALBEMARLE RD,NA,2801,2829,2800,2828,993,993,G00011075,ALBEMARLE RD
NELSON,NELSON,NA,171,195,170,196,259,259,G00011076,NELSON
GLENWOOD RD,GLENWOOD RD,NA,NA,NA,NA,NA,995,999,G00011077,GLENWOOD RD
GRAHAM AVE,GRAHAM AVE,NA,211,227,218,234,330,336,G00011078,GRAHAM AVE
KENILWORTH PL,KENILWORTH PL,NA,89,153,90,154,1011,1011,G00011079,KENILWORTH PL
FLUSHING AVE,FLUSHING AVE,NA,767,801,766,790,359,811,G00011080,FLUSHING AVE
E 3,E 3,NA,341,349,344,348,1021,1021,G00011081,E 3
DUMONT AVE,DUMONT AVE,NA,633,657,636,658,806,806,G00011082,DUMONT AVE
WILLOUGHBY,WILLOUGHBY,NA,231,261,208,242,233,466,G00011083,WILLOUGHBY
VAN BUREN,VAN BUREN,NA,255,339,254,340,593,594,G00011084,VAN BUREN
GRAVESEND NECK RD,GRAVSND NK RD,NA,NA,NA,NA,NA,1037,1037,G00011085,GRAVSND NK RD
WARWICK,WARWICK,NA,623,665,624,674,809,809,G00011086,WARWICK
E 5,E 5,NA,NA,NA,NA,NA,1031,1031,G00011087,E 5
SOMERS,SOMERS,NA,57,109,38,90,718,718,G00011088,SOMERS
48,48,NA,1319,1369,1316,1370,1409,1409,G00011089,48
BAY 44,BAY 44,NA,NA,NA,128,180,1049,1049,G00011090,BAY 44
E 35,E 35,NA,NA,NA,1752,NA,1008,1008,G00011091,E 35
FT HAMILTON PKWY,FORT HAMILTON AVE,NA,6601,6623,6600,6624,1068,1087,G00011092,FORT HAMILTON AVE
STERLING PL,STERLING PL,NA,651,733,652,730,656,656,G00011093,STERLING PL
BEARD,BEARD,NA,139,193,140,192,240,240,G00011094,BEARD
BEDFORD AVE,BEDFORD AVE,NA,NA,NA,NA,NA,672,672,G00011095,BEDFORD AVE
LINCOLN RD,LINCOLN RD,NA,63,161,64,166,931,931,G00011096,LINCOLN RD
S THOMAS BOYLAND,HOPKINSON AVE,NA,NA,NA,NA,NA,644,645,G00011097,HOPKINSON AVE
PINE,PINE,NA,73,125,76,132,969,969,G00011098,PINE
76,76,NA,1663,1681,1664,1682,1408,1408,G00011099,76
3 AVE,3 AVE,NA,8901,8909,8900,8910,1081,1081,G00011100,3 AVE
S THOMAS BOYLAND,HOPKINSON AVE,NA,325,347,324,350,644,645,G00011101,HOPKINSON AVE
MENAHAN,RALPH,NA,179,223,164,220,871,873,G00011102,RALPH
CHURCH LA,CHURCH LN,NA,NA,NA,NA,NA,989,989,G00011103,CHURCH LN
S AVE,S AVE,NA,NA,NA,NA,NA,1031,1031,G00011104,S AVE
NEWPORT,VANDERVEER AVE,VANDERVEER AVE,NA,NA,NA,NA,962,962,G00011105,VANDERVEER AVE
TEN EYCK WALK,TEN EYCK,NA,191,225,194,228,319,337,G00011106,TEN EYCK
SCHERMERHORN,SCHERMERHORN,NA,195,251,192,248,22,27,G00011107,SCHERMERHORN
7 AVE,7 AVE,NA,269,287,272,292,562,562,G00011108,7 AVE
E 48,E 48,NA,233,279,234,280,951,951,G00011109,E 48
GERRITSEN AVE,GERRITSEN AVE,NA,1701,1745,1726,1764,1001,1005,G00011110,GERRITSEN AVE
ELDERT,ELDERT,NA,1,55,2,56,902,902,G00011111,ELDERT
D AVE,D AVE,NA,NA,NA,NA,NA,995,995,G00011112,D AVE
LIBERTY AVE,LIBERTY AVE,NA,439,455,440,454,760,781,G00011113,LIBERTY AVE
R AVE,R AVE,NA,1121,1129,1106,1118,1007,1006,G00011114,R AVE
55,55,NA,1701,1773,1700,1774,1060,1060,G00011115,55
Z AVE,Z AVE,NA,1601,1629,1600,1630,1033,1033,G00011116,Z AVE
SAINT JOHNS PL,SAINT JOHNS PL,NA,1129,1179,1128,1178,661,661,G00011117,SAINT JOHNS PL
62,62,NA,973,977,NA,NA,1068,1068,G00011118,62
SURF AVE,SURF AVE,NA,4514,4522,4509,4521,1043,1044,G00011119,SURF AVE
KOSCIUSZKO,KOSCIUSKO,NA,245,307,234,294,491,491,G00011120,KOSCIUSKO
JUNIUS,JUNIUS,NA,121,171,122,172,744,744,G00011121,JUNIUS
FARRAGUT RD,FARRAGUT RD,NA,2501,2515,2500,2514,1011,1011,G00011122,FARRAGUT RD
MADISON,MADISON,NA,741,815,770,850,687,688,G00011123,MADISON
6 AVE,6 AVE,NA,7201,7213,7210,7224,1097,1097,G00011124,6 AVE
6 AVE,6 AVE,NA,4501,4523,4500,4522,145,145,G00011125,6 AVE
8 AVE,8 AVE,NA,175,189,174,190,569,566,G00011126,8 AVE
V AVE,V AVE,NA,NA,NA,NA,NA,1001,1001,G00011127,V AVE
UNION AVE,UNION AVE,NA,207,219,222,232,290,299,G00011128,UNION AVE
M AVE,M AVE,NA,NA,NA,NA,NA,989,989,G00011129,M AVE
KNICKERBOCKER AVE,KNICKERBOCKER AVE,NA,NA,NA,240,264,846,846,G00011130,KNICKERBOCKER AVE
BEVERLEY RD,BEVERLEY RD,NA,1101,1115,1100,1116,1019,1020,G00011131,BEVERLEY RD
4 AVE,4 AVE,NA,NA,NA,224,236,532,214,G00011132,4 AVE
STUART,STUART,NA,NA,NA,NA,NA,1001,1001,G00011133,STUART
METROPOLITAN AVE,METROPOLITAN AVE,NA,809,821,812,822,411,413,G00011134,METROPOLITAN AVE
HANSON PL,HANSON PL,NA,NA,NA,102,104,471,471,G00011135,HANSON PL
CLARENDON RD,CLARENDON RD,NA,4701,4717,4700,4718,991,995,G00011136,CLARENDON RD
N AVE,N AVE,NA,8601,8625,8600,8626,989,989,G00011137,N AVE
UNION,UNION,NA,499,509,452,476,212,212,G00011138,UNION
CENTRAL AVE,CENTRAL AVE,NA,335,349,358,372,886,887,G00011139,CENTRAL AVE
GRAHAM AVE,GRAHAM AVE,NA,469,487,478,496,404,404,G00011140,GRAHAM AVE
BAY 19,BAY 19,NA,113,161,114,162,1055,1055,G00011141,BAY 19
S 10,S 10,NA,15,43,18,44,271,271,G00011142,S 10
TILDEN AVE,TILDEN AVE,NA,3301,3319,3300,3324,992,992,G00011143,TILDEN AVE
CADMAN W PLZ,FULTON,NA,215,245,212,240,35,5,G00011144,FULTON
LEXINGTON AVE,LEXINGTON AVE,NA,497,557,470,528,587,589,G00011145,LEXINGTON AVE
NASSAU AVE,NASSAU AVE,NA,285,299,278,294,396,396,G00011146,NASSAU AVE
QUENTIN RD,Q AVE,NA,2201,2219,2200,2224,1007,1007,G00011147,Q AVE
L AVE,L AVE,NA,5701,5723,5700,5724,1000,1000,G00011148,L AVE
BOND,BOND,NA,29,49,34,50,22,22,G00011149,BOND
GRACE CT ALY,GRACE CT ALY,NA,1,19,2,20,7,7,G00011150,GRACE CT ALY
7 AVE,7 AVE,NA,189,205,194,210,564,565,G00011151,7 AVE
HENDRIX,HENDRIX,NA,231,273,232,274,766,764,G00011152,HENDRIX
FLATLANDS AVE,FLATLAND AVE,NA,NA,NA,NA,NA,990,990,G00011153,FLATLAND AVE
HIGHLAND PL,DRESDEN,NA,17,75,18,82,965,771,G00011154,DRESDEN
GLENWOOD RD,GLENWOOD RD,NA,4405,4417,4402,4416,996,996,G00011155,GLENWOOD RD
ELDERT LA,ELDERT LN,NA,371,425,366,428,971,971,G00011156,ELDERT LN
STILLWELL AVE,STILLWELL AVE,W 14,NA,NA,NA,NA,1038,1048,G00011157,STILLWELL AVE
BUSHWICK AVE,BUSHWICK AVE,NA,719,721,NA,NA,821,821,G00011158,BUSHWICK AVE
MESEROLE AVE,MESEROLE AVE,NA,NA,NA,NA,NA,377,377,G00011159,MESEROLE AVE
WATERBURY,WATERBURY,NA,135,153,130,150,417,417,G00011160,WATERBURY
OTSEGO,OTSEGO,NA,85,99,80,100,247,247,G00011161,OTSEGO
DITMAS AVE,DITMAS AVE,NA,1107,1125,1016,1128,1025,1025,G00011162,DITMAS AVE
J AVE,J AVE,NA,711,719,710,720,1030,1030,G00011163,J AVE
E 96,E 96,NA,NA,NA,NA,NA,987,987,G00011164,E 96
BERGEN,BERGEN,NA,1317,1377,1322,1378,627,627,G00011165,BERGEN
WESTWAY,WEST WAY,NA,NA,NA,NA,NA,428,428,G00011166,WEST WAY
92,92,NA,1,71,2,72,1082,1082,G00011167,92
W 6,W 6,NA,1801,1881,1800,1888,1031,1031,G00011168,W 6
ETNA,ETNA,NA,51,59,56,60,965,965,G00011169,ETNA
DUMONT AVE,DUMONT AVE,NA,NA,NA,444,464,794,794,G00011170,DUMONT AVE
HURON,HURON,NA,169,215,170,220,370,371,G00011171,HURON
NEPTUNE AVE,NEPTUNE AVE,NA,266,306,NA,NA,1035,1039,G00011172,NEPTUNE AVE
MANHATTAN AVE,MANHATTAN AVE,NA,251,267,258,274,313,314,G00011173,MANHATTAN AVE
HENRY,HENRY,NA,0,0,0,0,7,7,G00011174,HENRY
BROADWAY,BROADWAY,NA,1869,1893,1876,1890,917,719,G00011175,BROADWAY
LIVONIA AVE,LIVONIA AVE,NA,481,503,482,504,805,805,G00011176,LIVONIA AVE
51,51,NA,1037,1071,1032,1072,1067,1067,G00011177,51
VILLAGE E RD,VILLAGE RD,NA,49,77,50,78,1037,1037,G00011178,VILLAGE RD
GLENWOOD RD,GLENWOOD RD,NA,3701,3717,NA,NA,997,997,G00011179,GLENWOOD RD
78,78,NA,1501,1573,1500,1572,1074,1074,G00011180,78
GROVE,GROVE,NA,159,203,160,206,870,886,G00011181,GROVE
WYTHE AVE,WYTHE AVE,NA,429,449,464,486,271,271,G00011182,WYTHE AVE
WORTMAN AVE,WORTMAN AVE,NA,533,555,534,556,983,983,G00011183,WORTMAN AVE
PARK PL,PARK PL,NA,1675,1727,1666,1734,646,646,G00011184,PARK PL
BENSON AVE,BENSON AVE,NA,2303,2325,2304,2326,1050,1050,G00011185,BENSON AVE
PROSPECT AVE,PROSPECT AVE,NA,303,325,304,324,554,552,G00011186,PROSPECT AVE
26 AVE,26 AVE,NA,8631,8669,NA,NA,1049,1049,G00011187,26 AVE
Y AVE,Y AVE,NA,NA,NA,NA,NA,1037,1037,G00011188,Y AVE
MALCOLM X BLVD,REID AVE,NA,233,247,240,260,693,618,G00011189,REID AVE
MARCY AVE,MARCY AVE,NA,215,233,240,248,442,436,G00011190,MARCY AVE
K AVE,K AVE,NA,1801,1823,1800,1820,1008,1008,G00011191,K AVE
2,2,NA,119,165,124,166,220,221,G00011192,2
HARMAN,HARMAN,NA,195,203,196,208,857,857,G00011193,HARMAN
53,53,NA,1601,1691,1600,1692,1060,1060,G00011194,53
LOGAN,LOGAN,NA,NA,NA,160,170,969,965,G00011195,LOGAN
STANLEY AVE,STANLEY AVE,NA,581,613,582,614,983,983,G00011196,STANLEY AVE
BELMONT AVE,BELMONT AVE,NA,NA,NA,NA,NA,750,793,G00011197,BELMONT AVE
DE KALB AVE,DE KALB AVE,NA,331,347,330,346,90,98,G00011198,DE KALB AVE
EVERGREEN AVE,EVERGREEN AVE,NA,259,273,304,318,829,824,G00011199,EVERGREEN AVE
76,76,NA,1001,1071,1000,1076,1071,1071,G00011200,76
BAY 16,BAY 16,NA,8783,8819,8776,8820,1056,1056,G00011201,BAY 16
N 4,N 4,NA,141,175,152,184,286,285,G00011202,N 4
4 AVE,4 AVE,NA,867,881,NA,NA,131,131,G00011203,4 AVE
UNION AVE,UNION AVE,NA,NA,NA,NA,NA,289,297,G00011204,UNION AVE
SHORE RD,SHORE RD,NA,7201,7239,NA,NA,1100,1100,G00011205,SHORE RD
E 51,E 51,NA,NA,NA,NA,NA,1000,1000,G00011206,E 51
HENDRICKSON,HENDRICKSON,NA,1601,1671,1600,1672,1001,1001,G00011207,HENDRICKSON
BRIGHTON 2,BRIGHTON 02,NA,NA,NA,NA,NA,1035,1035,G00011208,BRIGHTON 02
76,76,NA,1201,1275,1200,1272,1072,1072,G00011209,76
3 AVE,3 AVE,NA,361,405,360,404,523,523,G00011210,3 AVE
CLARENDON RD,CLARENDON RD,NA,3901,3923,3900,3924,992,994,G00011211,CLARENDON RD
NORMAN AVE,NORMAN,NA,123,137,120,134,378,390,G00011212,NORMAN
E 5,E 5,NA,373,449,374,450,1021,1021,G00011213,E 5
E 39,E 39,NA,1215,1259,1214,1244,999,999,G00011214,E 39
GRAVESEND NECK RD,GRAVSND NK RD,NA,NA,NA,NA,NA,1407,1407,G00011215,GRAVSND NK RD
LOCUST AVE,LOCUST AVE,NA,1317,1327,1316,1326,1009,1009,G00011216,LOCUST AVE
BEVERLEY RD,BEVERLEY RD,NA,2901,2909,2900,2910,1404,1404,G00011217,BEVERLEY RD
MELROSE,MELROSE,NA,295,359,296,370,841,843,G00011218,MELROSE
PROVOST,PROVOST,NA,1,19,2,20,376,376,G00011219,PROVOST
BEDFORD AVE,BEDFORD AVE,NA,1519,1537,1534,1548,657,657,G00011220,BEDFORD AVE
PARK AVE,PARK AVE,NA,729,759,722,764,500,498,G00011221,PARK AVE
21 AVE,21 AVE,BAY 27,5701,5721,5700,5706,1060,1060,G00011222,21 AVE
E 88,E 88,NA,NA,NA,NA,NA,990,990,G00011223,E 88
E 80,E 80,NA,NA,NA,NA,NA,989,989,G00011224,E 80
3 AVE,3 AVE,NA,9501,9517,9500,9504,1081,1081,G00011225,3 AVE
PEARL,PEARL,NA,61,81,52,80,18,18,G00011226,PEARL
HIMROD,HIMROD,NA,137,173,114,176,827,827,G00011227,HIMROD
SEABRING,SEABRING,NA,35,73,36,74,246,246,G00011228,SEABRING
2,2,NA,1,55,2,64,217,218,G00011229,2
PITKIN AVE,PITKIN AVE,NA,2127,2151,2128,2152,758,757,G00011230,PITKIN AVE
14 AVE,14 AVE,NA,4601,4623,4600,4624,1409,1409,G00011231,14 AVE
TILDEN AVE,TILDEN AVE,NA,NA,NA,NA,NA,990,990,G00011232,TILDEN AVE
50,50,NA,1101,1179,1100,1184,1067,1067,G00011233,50
STRATFORD RD,STRATFORD RD,NA,445,515,446,524,1025,1025,G00011234,STRATFORD RD
JAVA,JAVA,NA,161,211,152,212,372,372,G00011235,JAVA
ATLANTIC AVE,ATLANTIC AVE,NA,1991,2005,0,0,711,640,G00011236,ATLANTIC AVE
STATE,STATE,NA,181,219,202,244,13,13,G00011237,STATE
85,85,NA,NA,NA,1502,1584,1076,1076,G00011238,85
62,62,NA,1901,1973,1900,1974,1058,1058,G00011239,62
WARWICK,WARWICK,NA,NA,NA,NA,NA,774,773,G00011240,WARWICK
BOGART,BOGART,NA,19,25,22,28,422,427,G00011241,BOGART
BLAKE AVE,BLAKE AVE,NA,797,817,798,810,789,789,G00011242,BLAKE AVE
E 86,E 86,NA,1201,1283,1200,1284,989,989,G00011243,E 86
KNAPP,KNAPP,NA,NA,NA,NA,NA,1003,1003,G00011244,KNAPP
JUNIUS,JUNIUS,NA,NA,NA,570,622,804,804,G00011245,JUNIUS
15 AVE,15 AVE,NA,8101,8121,8100,8120,1074,1074,G00011246,15 AVE
CRANBERRY,CRANBERRY,NA,1,17,2,18,2,3,G00011247,CRANBERRY
CROPSEY AVE,CROPSEY AVE,NA,1625,1651,NA,NA,1075,1075,G00011248,CROPSEY AVE
H AVE,H AVE,NA,NA,NA,NA,NA,1011,1011,G00011249,H AVE
BARBEY,BARBEY,NA,141,171,140,176,769,767,G00011250,BARBEY
BAY 8,BAY 8,NA,NA,NA,NA,NA,1077,1077,G00011251,BAY 8
STILLWELL AVE,STILLWELL AVE,W 14,NA,NA,NA,NA,1048,1048,G00011252,STILLWELL AVE
MONROE,MONROE,NA,599,667,610,674,598,598,G00011253,MONROE
CLEVELAND,CLEVELAND,NA,199,205,200,218,770,770,G00011254,CLEVELAND
EASTERN PKWY,EAST PKWY,NA,NA,NA,NA,NA,666,666,G00011255,EAST PKWY
M AVE,M AVE,NA,NA,NA,NA,NA,989,989,G00011256,M AVE
77,77,NA,501,575,500,574,1086,1086,G00011257,77
FRANKLIN AVE,FRANKLIN AVE,NA,541,545,536,540,114,113,G00011258,FRANKLIN AVE
SHORE BLVD,SHORE BLVD,NA,NA,NA,900,940,1034,1034,G00011259,SHORE BLVD
SNYDER AVE,SNYDER AVE,NA,5001,5023,5000,5024,991,991,G00011260,SNYDER AVE
MONTIETH,MONTIETH,NA,1,37,2,36,815,816,G00011261,MONTIETH
FLATBUSH AVE,FLATBUSH AVE,NA,2045,2057,2034,2058,1000,1001,G00011262,FLATBUSH AVE
BAY 34,BAY 34,NA,NA,NA,182,230,1050,1050,G00011263,BAY 34
ROCKAWAY PKWY,ROCKAWAY PKWY,NA,1487,1503,1480,1504,987,987,G00011264,ROCKAWAY PKWY
Y AVE,Y AVE,NA,NA,NA,NA,NA,1003,1003,G00011265,Y AVE
RIVER,RIVER,NA,105,123,94,110,275,275,G00011266,RIVER
RICHARDS,RICHARD,NA,219,237,234,252,247,240,G00011267,RICHARD
KINGSTON AVE,KINGSTON AVE,NA,295,313,288,316,668,669,G00011268,KINGSTON AVE
E 92,E 92,NA,1167,1239,1172,1232,987,987,G00011269,E 92
MANHATTAN AVE,MANHATTAN AVE,NA,643,695,642,694,387,387,G00011270,MANHATTAN AVE
8,8,NA,NA,NA,NA,NA,531,530,G00011271,8
10 AVE,10 AVE,NA,7101,7123,7100,7124,1071,1071,G00011272,10 AVE
KINGS HWY,KINGSHIGWY,NA,453,469,NA,NA,1031,1031,G00011273,KINGSHIGWY
W 16,W 16,NA,2901,2935,2900,2936,1047,1047,G00011274,W 16
FLATBUSH AVE,FLATBUSH AVE,NA,343,377,318,334,178,176,G00011275,FLATBUSH AVE
UNION,UNION,NA,247,299,238,284,64,65,G00011276,UNION
FT HAMILTON PKWY,FORT HAMILTON AVE,NA,2800,2824,2801,2823,922,922,G00011277,FORT HAMILTON AVE
HERKIMER,HERKIMER,NA,1507,1529,1512,1530,725,725,G00011278,HERKIMER
NOSTRAND AVE,NOSTRAND AVE,NA,1105,1127,1116,1128,940,933,G00011279,NOSTRAND AVE
NOSTRAND AVE,NOSTRAND AVE,NA,1165,1173,1152,1176,940,933,G00011280,NOSTRAND AVE
19 AVE,19 AVE,NA,8301,8323,NA,NA,1054,1055,G00011281,19 AVE
HENDRIX,HENDRIX,NA,709,771,712,774,808,808,G00011282,HENDRIX
9 AVE,9 AVE,NA,4101,4123,4100,4124,1090,138,G00011283,9 AVE
ROCKAWAY AVE,ROCKAWAY AVE,NA,101,117,116,134,718,713,G00011284,ROCKAWAY AVE
LIVONIA AVE,LIVONIA AVE,NA,NA,NA,NA,NA,807,807,G00011285,LIVONIA AVE
FULTON,FULTON,NA,3345,3371,3326,3372,970,971,G00011286,FULTON
41,41,NA,101,177,100,176,134,141,G00011287,41
LINDEN,LINDEN,NA,343,367,360,366,879,880,G00011288,LINDEN
DRIGGS AVE,DRIGGS AVE,NA,555,575,556,566,291,287,G00011289,DRIGGS AVE
WORTMAN AVE,WORTMAN AVE,NA,NA,NA,NA,NA,982,982,G00011290,WORTMAN AVE
15 AVE,15 AVE,NA,5001,5021,5000,5023,1062,1062,G00011291,15 AVE
I AVE,I AVE,NA,4701,4723,4700,4724,999,999,G00011292,I AVE
E 3,E 3,NA,1035,1101,1036,1104,1029,1029,G00011293,E 3
13 AVE,13 AVE,NA,7301,7319,7300,7324,1072,1072,G00011294,13 AVE
3 AVE,3 AVE,NA,1,23,2,26,30,30,G00011295,3 AVE
ALBANY AVE,ALBANY AVE,NA,841,909,842,910,944,944,G00011296,ALBANY AVE
12 AVE,12 AVE,NA,3707,3723,3706,3722,923,923,G00011297,12 AVE
82,82,NA,2101,2177,2100,2178,1052,1052,G00011298,82
T AVE,T AVE,NA,2901,2921,2900,2922,1005,1006,G00011299,T AVE
SHERIDAN AVE,SHERIDAN AVE,NA,105,137,104,150,976,976,G00011300,SHERIDAN AVE
CLINTON,CLINTON,NA,757,781,762,780,248,248,G00011301,CLINTON
ADAMS,ADAMS,NA,209,251,212,260,34,34,G00011302,ADAMS
BRIGHTON 8,BR 8,NA,NA,NA,NA,NA,1035,1035,G00011303,BR 8
T AVE,T AVE,NA,NA,NA,NA,NA,1001,1001,G00011304,T AVE
LINCOLN PL,LINCOLN PL,NA,0,0,0,0,665,665,G00011305,LINCOLN PL
NOSTRAND AVE,NOSTRAND AVE,NA,261,279,292,310,580,577,G00011306,NOSTRAND AVE
13 AVE,13 AVE,NA,7701,7721,7700,7720,1072,1072,G00011307,13 AVE
MARCUS GARVEY BLVD,SUMNER AVE,NA,433,447,426,442,613,612,G00011308,SUMNER AVE
MOTHER GASTON BLVD,MOTHER GASTON BLVD,NA,203,223,204,222,643,643,G00011309,MOTHER GASTON BLVD
JEFFERSON,JEFFERSON,NA,395,421,422,444,865,865,G00011310,JEFFERSON
11,11,NA,337,405,340,406,543,543,G00011311,11
SUTTER AVE,SUTTER AVE,NA,1001,1021,998,1022,784,785,G00011312,SUTTER AVE
